City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Ayagoz,KZ,2020-06-28 14:22:59,47.97,80.44,62.96,34,63,8.99
252,Tabivere,EE,2020-06-28 14:24:47,58.55,26.6,84.99,44,13,9.17
253,Nioro,GM,2020-06-28 14:24:47,13.35,-15.75,98.89,32,51,10.58
254,Kazachinskoye,RU,2020-06-28 14:24:47,57.7,93.28,69.62,72,94,6.69
255,Sarab,IR,2020-06-28 14:24:47,38.61,44.99,77.94,40,37,8.88
256,Kavieng,PG,2020-06-28 14:22:59,-2.57,150.8,82.44,80,23,12.48
257,Mahebourg,MU,2020-06-28 14:24:47,-20.41,57.7,73.4,78,75,6.93
258,Praia Da Vitoria,PT,2020-06-28 14:24:47,38.73,-27.07,73.4,73,40,6.26
259,Bonoua,CI,2020-06-28 14:22:59,5.27,-3.6,78.8,88,40,12.75
260,Tosno,RU,2020-06-28 14:24:47,59.54,30.88,69.8,35,0,15.66
261,Cristinapolis,BR,2020-06-28 14:24:47,-11.48,-37.76,81.23,61,4,6.42
262,Arlit,NE,2020-06-28 14:24:48,18.74,7.39,107.87,6,0,15.26
263,Komsomolskiy,UZ,2020-06-28 14:22:59,40.43,71.72,82.4,11,0,2.24
264,Atar,MR,2020-06-28 14:24:48,20.52,-13.05,111.51,6,0,24.25
265,Luanda,AO,2020-06-28 14:22:59,-8.84,13.23,77.0,69,20,10.29
266,Avon Park,US,2020-06-28 14:24:48,27.6,-81.51,86.0,74,1,5.82
267,Port Keats,AU,2020-06-28 14:24:48,-14.25,129.55,70.66,42,57,6.2
268,Tilichiki,RU,2020-06-28 14:24:48,60.47,166.1,43.25,94,33,2.82
269,Huallanca,PE,2020-06-28 14:24:48,-9.9,-76.94,50.32,47,16,5.12
270,Ribeira Brava,PT,2020-06-28 14:22:59,32.65,-17.07,75.0,75,2,8.01
271,Qinnan,CN,2020-06-28 14:24:48,33.25,119.91,70.41,95,100,12.41
272,Ayan,RU,2020-06-28 14:24:48,56.45,138.17,46.09,89,0,2.84
273,Ponta Do Sol,PT,2020-06-28 14:24:48,32.67,-17.1,75.0,72,2,11.99
274,Longyearbyen,SJ,2020-06-28 14:24:48,78.22,15.64,42.8,75,75,4.7
275,Wajima,JP,2020-06-28 14:24:48,37.4,136.9,67.84,77,93,3.8
276,Iquira,CO,2020-06-28 14:24:48,2.65,-75.63,75.2,83,100,4.7
277,Nassau,US,2020-06-28 14:24:48,40.75,-73.58,84.2,62,1,4.29
278,Galveston,US,2020-06-28 14:24:48,29.37,-94.97,87.01,79,1,17.22
279,Marzuq,YE,2020-06-28 14:24:48,14.4,46.47,96.04,17,72,2.86
280,Haines Junction,CA,2020-06-28 14:24:49,60.75,-137.51,50.52,56,100,1.83
281,Pemba,MZ,2020-06-28 14:24:49,-12.97,40.52,80.6,69,40,9.17
282,Kuliyapitiya,LK,2020-06-28 14:23:00,7.47,80.04,84.2,79,40,8.05
283,Aksu,CN,2020-06-28 14:24:49,41.12,80.26,72.97,32,100,5.97
284,Jacmel,HT,2020-06-28 14:24:49,18.23,-72.53,89.6,55,40,11.41
285,Palu,ID,2020-06-28 14:24:49,-0.89,119.87,74.82,83,100,1.03
286,Dzaoudzi,YT,2020-06-28 14:24:49,-12.79,45.27,80.6,74,0,13.87
287,Vestmannaeyjar,IS,2020-06-28 14:24:49,63.44,-20.27,60.8,82,75,5.82
288,Jutai,BR,2020-06-28 14:24:49,-5.18,-68.9,82.44,71,100,2.86
289,Nikolskoye,RU,2020-06-28 14:24:49,59.7,30.79,69.8,35,0,15.66
290,Kibuye,RW,2020-06-28 14:24:49,-2.06,29.35,73.44,60,35,2.24
291,Sao Joao Da Barra,BR,2020-06-28 14:24:49,-21.64,-41.05,75.2,64,75,11.41
292,Sola,VU,2020-06-28 14:24:49,-13.88,167.55,80.58,83,48,16.22
293,Hamilton,US,2020-06-28 14:23:00,39.18,-84.53,71.6,94,90,7.36
294,Port Hedland,AU,2020-06-28 14:23:00,-20.32,118.57,68.0,64,18,3.36
295,Ostrovnoy,RU,2020-06-28 14:24:49,68.05,39.51,44.64,70,89,8.66
296,Kahului,US,2020-06-28 14:24:47,20.89,-156.47,72.0,73,1,3.36
297,Rocha,UY,2020-06-28 14:24:49,-34.48,-54.33,51.26,71,0,6.29
298,Bom Jesus,BR,2020-06-28 14:24:49,-9.07,-44.36,88.16,36,0,6.62
299,Bang Saphan,TH,2020-06-28 14:24:49,11.21,99.51,78.93,88,99,6.64
300,Bud,US,2020-06-28 14:24:49,39.45,-86.18,71.6,94,90,4.7
301,Kayes,ML,2020-06-28 14:23:01,14.0,-11.0,101.12,28,25,11.56
