City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Weather,Wind Speed,Country,Date,Rain,Snow
124,Dalvik,65.97,-18.53,55.4,82,20,Clouds,11.41,IS,2020-06-28 16:16:52,0.0,0
125,Ponta Do Sol,32.67,-17.1,73.99,72,4,Clear,8.99,PT,2020-06-28 16:16:55,0.0,0
126,Rocha,-34.48,-54.33,53.78,69,37,Clouds,5.97,UY,2020-06-28 16:18:47,0.0,0
127,Ransang,8.96,117.58,77.85,79,100,Clouds,2.04,PH,2020-06-28 16:20:27,0.0,0
128,Leningradskiy,69.38,178.42,29.01,98,96,Clouds,4.74,RU,2020-06-28 16:17:34,0.0,0
129,Iskandar,41.55,69.7,77.0,14,0,Clear,4.7,UZ,2020-06-28 16:20:27,0.0,0
130,Mahibadhoo,3.78,72.97,83.93,77,4,Clear,13.73,MV,2020-06-28 16:20:27,0.0,0
131,Les Cayes,18.2,-73.75,88.54,60,100,Clouds,8.86,HT,2020-06-28 16:20:27,0.0,0
132,Naushki,50.38,106.11,64.17,74,19,Rain,0.83,RU,2020-06-28 16:20:27,0.11,0
133,Bud,39.45,-86.18,73.99,88,90,Clouds,6.93,US,2020-06-28 16:18:49,0.0,0
134,Maniitsoq,65.42,-52.9,42.37,87,78,Clouds,8.1,GL,2020-06-28 16:20:28,0.0,0
135,Tanda,26.55,82.65,81.99,79,63,Clouds,9.37,IN,2020-06-28 16:20:28,0.0,0
136,Poum,-20.23,164.02,71.2,70,4,Clear,9.66,NC,2020-06-28 16:20:28,0.0,0
137,Kapaa,22.08,-159.32,73.4,94,75,Rain,4.7,US,2020-06-28 16:18:42,1.02,0
138,Miri,4.41,114.01,78.8,100,40,Clouds,1.72,MY,2020-06-28 16:20:28,0.0,0
139,Znamenskoye,57.13,73.83,51.69,91,33,Clouds,7.36,RU,2020-06-28 16:20:28,0.0,0
140,Korla,41.76,86.15,81.0,73,66,Clouds,3.0,CN,2020-06-28 16:18:46,0.0,0
141,Vuktyl,63.86,57.31,47.5,67,85,Clouds,12.01,RU,2020-06-28 16:20:28,0.0,0
